CustomerID,Lookalike_CustomerID,Similarity_Score
C0001,C0069,0.9474267106659245
C0001,C0127,0.8962900327015068
C0001,C0035,0.8666252838256273
C0002,C0133,0.9666644126828897
C0002,C0134,0.9167339024655724
C0002,C0062,0.9100149820484347
C0003,C0166,0.9939914710196399
C0003,C0031,0.9727403771203442
C0003,C0158,0.9312262865668931
C0004,C0090,0.9090670679610011
C0004,C0017,0.8916903892727432
C0004,C0122,0.8896064185547535
C0005,C0197,0.9996304400542102
C0005,C0007,0.9886512936964763
C0005,C0199,0.8979017682046732
C0006,C0135,0.9028232661364591
C0006,C0187,0.8157502610889242
C0006,C0153,0.7453095381500562
C0007,C0005,0.9886512936964763
C0007,C0197,0.9842020774772975
C0007,C0120,0.8848285152671125
C0008,C0162,0.916570073290797
C0008,C0154,0.8843590022215114
C0008,C0181,0.8619684754417969
C0009,C0198,0.9202199219666243
C0009,C0029,0.9169432325982387
C0009,C0033,0.8693754150775441
C0010,C0061,0.9457404831464457
C0010,C0176,0.9431229844080363
C0010,C0042,0.9414884345461086
C0011,C0126,0.9676679566772811
C0011,C0171,0.9061073278415064
C0011,C0193,0.8952785774884886
C0012,C0065,0.9767724594238969
C0012,C0136,0.9395903715674727
C0012,C0104,0.9248208674860702
C0013,C0067,0.9456710967255095
C0013,C0105,0.9416093603248924
C0013,C0016,0.8748539615069474
C0014,C0151,0.9998920126312891
C0014,C0097,0.9996141848023893
C0014,C0060,0.99935308102776
C0015,C0123,0.9985857920478957
C0015,C0151,0.9373607581400148
C0015,C0014,0.9373469283069014
C0016,C0183,0.9999646133512361
C0016,C0107,0.996143035237217
C0016,C0105,0.907028670990657
C0017,C0075,0.9322895039024182
C0017,C0090,0.9093487356012903
C0017,C0004,0.8916903892727432
C0018,C0023,0.8919581536934026
C0018,C0168,0.8915831682607952
C0018,C0068,0.8210869410644853
C0019,C0191,0.966278765592906
C0019,C0070,0.907617868176813
C0019,C0174,0.8813213912037514
C0020,C0130,0.9983770706240233
C0020,C0095,0.9289117636571137
C0020,C0198,0.9266920638567144
C0021,C0057,0.982655175965658
C0021,C0155,0.9406290575709262
C0021,C0087,0.936135512184664
C0022,C0145,0.9338775458628471
C0022,C0099,0.9320979964669741
C0022,C0200,0.9264768876016114
C0023,C0155,0.94445114986545
C0023,C0068,0.9378944405994571
C0023,C0057,0.9262047766249051
C0024,C0124,0.8661490310817207
C0024,C0108,0.862342452416121
C0024,C0147,0.7804710570718474
C0025,C0178,0.9400201338041783
C0025,C0076,0.8815622131921131
C0025,C0159,0.8789646367317572
C0026,C0066,0.8661660793058973
C0026,C0007,0.814998833904104
C0026,C0091,0.8102795610208418
C0027,C0094,0.9184414233023017
C0027,C0132,0.8746693752966034
C0027,C0142,0.8680450876614164
C0028,C0188,0.9991313511616664
C0028,C0102,0.9935481739913162
C0028,C0054,0.8910843455092607
C0029,C0009,0.9169432325982387
C0029,C0077,0.9112045419485153
C0029,C0083,0.9095910633194096
C0030,C0010,0.9212450293534162
C0030,C0134,0.8617618181633396
C0030,C0034,0.8368159024659668
C0031,C0166,0.9922785020175596
C0031,C0003,0.9727403771203442
C0031,C0159,0.891065086810283
C0032,C0198,0.9085087367245429
C0032,C0033,0.8960192818517855
C0032,C0058,0.8850279400476035
C0033,C0058,0.9991693768104949
C0033,C0150,0.9974842105975495
C0033,C0198,0.9404755440636927
C0034,C0056,0.983083964040077
C0034,C0092,0.8967114456947003
C0034,C0022,0.8702924209392059
C0035,C0146,0.9999804847432715
C0035,C0005,0.8838144255485353
C0035,C0197,0.8831250356497088
C0036,C0167,0.9906152337922896
C0036,C0043,0.982118225777402
C0036,C0144,0.9057796841532834
C0037,C0136,0.9759131223437645
C0037,C0160,0.9509128886341242
C0037,C0038,0.9329096562073684
C0038,C0160,0.9985551385907252
C0038,C0037,0.9329096562073684
C0038,C0052,0.9229062449702036
C0039,C0162,0.9792571727364937
C0039,C0154,0.9635343941901834
C0039,C0051,0.9153336555826663
C0040,C0092,0.9074455600792402
C0040,C0056,0.7695162224208656
C0040,C0066,0.7551238195134886
C0041,C0082,0.8501130042429941
C0041,C0017,0.8453424901387478
C0041,C0046,0.8058787360008058
C0042,C0176,0.9998125035591279
C0042,C0061,0.997509425270454
C0042,C0010,0.9414884345461086
C0043,C0036,0.982118225777402
C0043,C0167,0.9471691615491205
C0043,C0144,0.9003181041134815
C0044,C0074,0.9969492789350872
C0044,C0027,0.7262584283869012
C0044,C0198,0.7252297989176131
C0045,C0051,0.9083457258999951
C0045,C0048,0.9042745509813399
C0045,C0096,0.8955363248188447
C0046,C0141,0.8920884945407761
C0046,C0175,0.8772723512419205
C0046,C0173,0.8742655646319761
C0047,C0081,0.92669834600237
C0047,C0172,0.9182943358799451
C0047,C0116,0.9136310252996818
C0048,C0091,0.9162882413307885
